,model_classification,reasoning,unique_id
1141,result,"This citation presents findings from an experiment or study, mentioning These as a key outcome or conclusion.",f349235018c0c06e4729668dc48dda2053804125>9566dcc89ddb1fe7dad13743bf521f8139a3610d_0
1142,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",1299de4f6f7b52a81ab2612c75fd09982c21a2e7>34e5513017c555463409013e0f16af946348f7bf_8
1143,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",4473b9edd330888039313570a8658f66833c4a60>68d7abb99ec6293d5cd54871b3f0b5c90e3cb3c7_5
1144,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",76cf84384c3e826338d0550b53d3287b761ff8b6>0869c1227ec500681a3c366e1b8ee1d0234c5c0a_0
1145,background,"This citation provides foundational information about Previous and its relevance, helping to establish context for the study.",7ac67ff0f59585ad3b31d22424c2cef72e20a27d>8d588720ea1b676f8b3906b696e06cf64f5b766b_9
1146,result,"This citation presents findings from an experiment or study, mentioning These as a key outcome or conclusion.",7e0301ec29c9aae718d43ad58315e628a5767679>c1a99243ec8268942354e34cf01b9ae9b1346b87_0
1147,background,"This citation provides foundational information about This and its relevance, helping to establish context for the study.",5da3d654c890385d284d0845286bd9d26e77d036>ebbac2abac129b92d95e3f03499ba36bfa8bcf32_2
1148,background,"This citation provides foundational information about Both and its relevance, helping to establish context for the study.",b8bffa786710b52c95201796bade07fc2ad3f38d>0049b630e0bf4b14e76e36615c33aed0c39c3dd9_2
1149,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",b3e3590ecb4f7d37fffd3abd3f0e0444840b5e5c>e40a6aa4503b16b853482b01cf16a4072387579b_0
1150,background,"This citation provides foundational information about Social and its relevance, helping to establish context for the study.",274fa942ce29cbfb19fc9f057651ba642266a5bd>9689b1b7ddcb203b6d9a8f633d8bbef71c44a44c_0
1151,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",8e8ae21e5037bd6683ffc9fd74af69bd1a3caa62>2d274069727fc97ceb9ee63900591447297ab966_4
1152,result,"This citation presents findings from an experiment or study, mentioning with as a key outcome or conclusion.",c9b9ab0b8d6e560d6d85b00e866867cee266961c>152b1e0693a79ceea5fa3e477408d9df00a4301c_0
1153,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",94cf3ebcdc57aa4564042cd74d8711eab8448583>32eb0e7b4dcb4def7d9e4f8aed0aa8b7f7b88b85_1
1154,result,"This citation presents findings from an experiment or study, mentioning The as a key outcome or conclusion.",b1ad220e3e7bc095fd02b02a800933258adc5c72>eb240521d008d582af37f0497f12c51f4bab16c8_5
1155,method,"The citation describes a specific experimental approach or procedure, such as We, which is used to conduct the research.",f3a6373c5d4030f9d727d9238b1d44300eb339df>21b05fd9a2c9bf7d30e6d9472a5a897720ec373b_2
1156,result,"This citation presents findings from an experiment or study, mentioning Our as a key outcome or conclusion.",b01f03ce478e99308adc7b0d32d45da9a9d7520e>e2d3bcfc91b3827595408d35fd914bff9db1a417_0
1157,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",10b08d7df1535d237ea65ae35594057944c07633>702bfb6709b03d5f1ba935d242d44179434713a4_7
1158,background,"This citation provides foundational information about …(SNPs) and its relevance, helping to establish context for the study.",0b3f3fea1df442338a6bccf782663c972dbbccb8>694eb242f826153de04b1e503d78623383a98a88_1
1159,background,"This citation provides foundational information about …2005), and its relevance, helping to establish context for the study.",d8a0715ca3e004b4e92f4ebf02ef39c45106ec50>15d47a35e929ec108f47d8dcfd07b2de0c064b10_2
1160,background,"This citation provides foundational information about We and its relevance, helping to establish context for the study.",09e2dda605728b604d0eecd254c00119ff0a2140>c4dadcc767979eea395074469143b23f161de3df_4
1161,background,"This citation provides foundational information about Only and its relevance, helping to establish context for the study.",fb1004213c70257a60c364e7ed04c2a02e091243>ed502557464153a9aa0785bbd92ff420e2b1d61e_1
1162,result,"This citation presents findings from an experiment or study, mentioning Although as a key outcome or conclusion.",41c7bdd249f2ec4747e8058a887093aa1de2adbb>None_0
1163,method,"The citation describes a specific experimental approach or procedure, such as Results, which is used to conduct the research.",4c8061702596a51d24a6983b6a4535b7fbbe8e3b>56b79360664250a78bd87ba28e81ea0e009ce275_1
1164,method,"The citation describes a specific experimental approach or procedure, such as Third,, which is used to conduct the research.",aa8c9f7dc4695e960b61341e4ed81015ecf63248>d63585ecf59daec5858990ef610a69963c4c0787_0
1165,method,"The citation describes a specific experimental approach or procedure, such as These, which is used to conduct the research.",9ca700dc0972f951dc83b224eb1950321e7eeacf>9b9a6489172c1f564927c29b243276ad5ec131a8_1
1166,background,"This citation provides foundational information about …we and its relevance, helping to establish context for the study.",560c67b8d5c6e4b2809fbbd308d373366241ea86>b0fe8d2727db77f58bc430fef29aba3308ecd3f2_6
1167,method,"The citation describes a specific experimental approach or procedure, such as Conventional, which is used to conduct the research.",220759adbe610799a242134874bfc86957861796>e28ae10f0b26e9cdef9257849693b0e22eeb478d_0
1168,background,"This citation provides foundational information about Another and its relevance, helping to establish context for the study.",a30aaa79f8962b2079e5dc4aadaa4c1ef521acbf>8935ce60ac3725b3cf87ffb85d4e0cca74bc02f1_2
1169,background,"This citation provides foundational information about Procedures and its relevance, helping to establish context for the study.",4b5bf14cb396b8665f76d4ed2e91bae687940ada>c307afadb6e108dcf2b4166a098342290960f3df_2
1170,background,"This citation provides foundational information about Two and its relevance, helping to establish context for the study.",929a7548464ce1d9d785abbe35da34842c0133e6>21096eb950bdff77308ad3924d69b681589bdc91_18
1171,method,"The citation describes a specific experimental approach or procedure, such as Asexual, which is used to conduct the research.",98d39621ff913d2eadc094370ff50c6aa4dd6481>471c4ca99d12bf1f50dca598319c5b0026d16f1e_5
1172,method,"The citation describes a specific experimental approach or procedure, such as Nadolol,, which is used to conduct the research.",7757285c6d16c92f318c0cffb996aaf13d81df0b>9d87d83e29f83e6313fec1c63fdc77fe732936b5_0
1173,background,"This citation provides foundational information about While and its relevance, helping to establish context for the study.",2594d5a4fe56fd16b141fc870ffa202daee78435>14ae303b271f189e54ef5089b7b2d9dd22d54ce0_8
1174,method,"The citation describes a specific experimental approach or procedure, such as Although, which is used to conduct the research.",3415b5b97525ad09bcb2b68bea8e2f225f55bb10>0acf1a74e6ed8c323192d2b0424849820fe88715_0
1175,method,"The citation describes a specific experimental approach or procedure, such as Haplotype, which is used to conduct the research.",cf47eb041429aedec9ab4a06f5263471b431278b>e42836feedca130dc3db75a2d6f8843af6161683_0
1176,method,"The citation describes a specific experimental approach or procedure, such as In, which is used to conduct the research.",f2baf11f07aa16691965e4b1514ec20ecc858db8>03c36ab2ed0fcefcb0cd126be99bc9cbe9bf007f_3
1177,result,"This citation presents findings from an experiment or study, mentioning Similar as a key outcome or conclusion.",c26ba33c603e72059cf602e5f96c1b1c5e1531b6>None_0
1178,method,"The citation describes a specific experimental approach or procedure, such as To, which is used to conduct the research.",a1030e6e0e6995768dbcafedc712a59db090d2b4>74fee9eb42bdc3b0605934943071bbea7f92bd1b_0
1179,background,"This citation provides foundational information about Nevertheless, and its relevance, helping to establish context for the study.",489a1ce077681e7614c79c4f3380050bc031c7fa>1e9bad5044514deb8e2c82c221c9dbc5007139c0_6
1180,background,"This citation provides foundational information about Other and its relevance, helping to establish context for the study.",3ad3837dbb7812a0baf839d8eb88f50035cab156>6b85dce37b745ebafac661f6fad5bfad943f1513_5
1181,background,"This citation provides foundational information about Antidepressant and its relevance, helping to establish context for the study.",19d912a4b49f0aae03d5ce661242a427bdd0c320>4f063779f013bbb2cfd61af3d29aab7ee09c9ec5_0
1182,background,"This citation provides foundational information about …for and its relevance, helping to establish context for the study.",ec895429daeec3e37d531a6dbbc0d9b83947d19b>e69c9d7bf9bb5f5c6e6fffb27630bbe831a7b833_2
1183,method,"The citation describes a specific experimental approach or procedure, such as We, which is used to conduct the research.",6e193cfc21b619d0044200e7ccc658ffa5d2ea69>5c71a835e13a834cbe8f1241159a7237b820dc92_10
1184,method,"The citation describes a specific experimental approach or procedure, such as As, which is used to conduct the research.",d0795090c47fbb8913e365dac816271f4bc4d4be>93f237179c4524e315c3f03a717767f113f97ea6_1
1185,method,"The citation describes a specific experimental approach or procedure, such as TSSs, which is used to conduct the research.",550247561bf8376e9b5639b546b792788c78e0c5>7e82b38e21c87b6a76a8549a36cd91cec5459a55_2
1186,background,"This citation provides foundational information about Comparative and its relevance, helping to establish context for the study.",85deb295eb4ae0900ea8fb1eda843f06bf8abbaa>ea44f361235950dc2acef14323b411ff0c35d862_1
1187,method,"The citation describes a specific experimental approach or procedure, such as Akin, which is used to conduct the research.",3de8795add72a7d46bd3b302da70be735b343b5d>8e54fed3d223c723a9f0aa5bc0620b374c7c6b17_0
1188,background,"This citation provides foundational information about Nevertheless, and its relevance, helping to establish context for the study.",20d164b2b7a4112e321b1e9dd8f92cb1b2ff4c83>dc5b2888e87689b8f7ed3351fb459ac2e83f3235_0
1189,result,"This citation presents findings from an experiment or study, mentioning All as a key outcome or conclusion.",331bbfcbcb9790d0a3014b65bfc823d63e8f457a>96782fb0faa42a730353f8429bbdc0da8c05d5c6_8
1190,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",06b9581ccc0d29c310339b22fbc89e395993bd57>102fc78aa47e63b8f648b2b4e0edc2939a377f99_0
1191,method,"The citation describes a specific experimental approach or procedure, such as A, which is used to conduct the research.",7ac67ff0f59585ad3b31d22424c2cef72e20a27d>8d588720ea1b676f8b3906b696e06cf64f5b766b_19
1192,method,"The citation describes a specific experimental approach or procedure, such as For, which is used to conduct the research.",1b0bd45318f388986fd0e72d6faf384023a7a2fe>e8312ba0cf0eca74a15beb312a64aa045b3da4b4_1
1193,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",fdd6b9825b0307dee90ac57fb55aca9da2974dd7>1516747309b98ec9f9b7e58b947d35c5829e41a8_3
1194,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",8befc89171fb546031fea2f0d7482f37b9a9ea29>815ece83872f2550d43f193d44ccfd6c4fb888d2_3
1195,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",8bfcf4265c323034b30d67226920f4145ab6d4dc>0972149ff524583253f38b80126699fdb2f67bb3_0
1196,background,"This citation provides foundational information about …exercise-induced and its relevance, helping to establish context for the study.",dfdeea8ce2e3ef25084c297a09027e9d2bb1491e>aa53d8ec6cbe937cec842ce1f02853895ba56c3f_10
1197,method,"The citation describes a specific experimental approach or procedure, such as Oxygen, which is used to conduct the research.",8b56f1b19deca58875383bf0232dbaf34902df90>a1410e0eca51ee418eb511c0095b9f6b7e9eb951_0
1198,result,"This citation presents findings from an experiment or study, mentioning However, as a key outcome or conclusion.",8b7a818d25b5a28d20b79ea1194eda339442cf81>68edaf910ba77bb719ec9f0425785e881cd309c4_2
1199,background,"This citation provides foundational information about Urine and its relevance, helping to establish context for the study.",41d69df1533f4ae4ef6157e6645ad37f3c540ce0>c1e05d9fa428e6b081081d4d4948ef498259047a_5
1200,result,"This citation presents findings from an experiment or study, mentioning Hence, as a key outcome or conclusion.",2d36743bd3403d05339d5141af8c790126266bf8>4f603ca1d0ff95be08c72b8268d68fd567b07ba8_0
1201,method,"The citation describes a specific experimental approach or procedure, such as In, which is used to conduct the research.",6e193cfc21b619d0044200e7ccc658ffa5d2ea69>5c71a835e13a834cbe8f1241159a7237b820dc92_0
1202,background,"This citation provides foundational information about 1995), and its relevance, helping to establish context for the study.",34d3411b4cae75f253e72cdfc5b63038f9b34a08>17aaebfb7135313cc1c01c6364542938f842da7a_2
1203,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",fbdf3e1ec97f278a54b4a06320f1e69f1185874c>39a2446c1dece36e32c6773cf4e28306f07c8cba_7
1204,result,"This citation presents findings from an experiment or study, mentioning This as a key outcome or conclusion.",901077d4ad9080b04cc178eea5c459a75ca79bdd>4e3427bd6cc0dd0290be6c146b46bda6ad05403f_10
1205,method,"The citation describes a specific experimental approach or procedure, such as By, which is used to conduct the research.",004ddf81be90b5c2773c87fa4870cc35823d56ec>a7449a99fc218146c39d18d4f77e0e585e9d8c32_17
1206,method,"The citation describes a specific experimental approach or procedure, such as To, which is used to conduct the research.",190892a4c2e74abb6d14f4974f21c4fe62c8d7e5>fc91ccc539d1d2b761860549bf58f8f875182c1b_14
1207,result,"This citation presents findings from an experiment or study, mentioning Our as a key outcome or conclusion.",b2ec0f1621f2f4fba1d4d2f482c8f2380af5bc16>a2393d6e910b41d2456d1d794b42b5546b863094_2
1208,result,"This citation presents findings from an experiment or study, mentioning A as a key outcome or conclusion.",16db1d1dcdc7af74006361c314f3e2d47be196cd>701c093958c3a52bafdfd6ce78a618dfa6aa70a0_0
1209,result,"This citation presents findings from an experiment or study, mentioning These as a key outcome or conclusion.",b4553a466286f70d755d7d6b18a591790385f286>5d14bf230d6f8ef6df6f27df573482b3a18d443c_0
1210,background,"This citation provides foundational information about Compared and its relevance, helping to establish context for the study.",52fdfce0f6f82b40947065f0ed30560bb6793c6a>86a516f1311b1ea6656980253106b464e1bba4a9_4
1211,background,"This citation provides foundational information about Anticancer and its relevance, helping to establish context for the study.",b4579f102e11e42213c9d6255a83b95106f933e6>854c95b8ec92659f66945664859db55f1c8b566c_0
1212,background,"This citation provides foundational information about Less and its relevance, helping to establish context for the study.",c5c49f3d189e63ff31305cff7973fc1cb113a065>c60bd24a1c685c8211e339314ed7b3e7579bbec9_3
1213,background,"This citation provides foundational information about Specific, and its relevance, helping to establish context for the study.",43b02723a14f38cf3060af20b7d6d576563380c8>55899ffa1ca17fd8ba86a6298a245723ddb22038_7
1214,background,"This citation provides foundational information about …frequency-dependent and its relevance, helping to establish context for the study.",f1a11165ef394e3987acc4cc0056af620790b5fd>631b5d6071ec74833d779b6d5702c25a6b2be9cf_0
1215,result,"This citation presents findings from an experiment or study, mentioning Our as a key outcome or conclusion.",1097bfa2514c68a3f473e685efca902a704f457a>None_0
1216,result,"This citation presents findings from an experiment or study, mentioning These as a key outcome or conclusion.",91d88ed49a9bbefc666cdcd4263861cf8aabd408>6a630fa7e0fe080a565302538f3070307a757942_0
1217,result,"This citation presents findings from an experiment or study, mentioning ‚Ä¶that as a key outcome or conclusion.",8c4901f35b5d170ee08ac0210faef1a091b5faee>None_0
1218,background,"This citation provides foundational information about …with and its relevance, helping to establish context for the study.",ad241e15eb1e767b6a8bf91e081ba89fa1784d84>88ed7f5b40fbe4f1d212b2967eff5cba78c85d75_2
1219,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",917237ec23249b823336f1de5910b766ac4d6d19>ab58b90b71f9a6ce1618f6a30a4d6a74cf1e58c0_8
1220,method,"The citation describes a specific experimental approach or procedure, such as Classification, which is used to conduct the research.",987de2d46a88313febaf70f8a3d9a473f7e99d9f>7dd52a6f6bb081fc729263e6a32718f58b26eb32_0
1221,method,"The citation describes a specific experimental approach or procedure, such as These, which is used to conduct the research.",62c99fc9ccaa39c95301b51ab17f44c2999b6a9b>115166bfaa6aa94cd7ffc24b8e5766e52768f096_0
1222,background,"This citation provides foundational information about Although and its relevance, helping to establish context for the study.",ea65a8be408e240ce84c25812aa156c8c31da788>7a19e1a679239492278fb6d751b2f9f16c6113e5_1
1223,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",f20cf27f1c49917aff7ea08f7715f28e37e067b0>91695bee521ee44b2c08a87d9693953afc26583f_1
1224,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",52db811fb230e1a19494c9ac4f293fbdfdc7d9a8>74e5f03d56f76cf3a6a80bcd977a5c7d07b42607_3
1225,background,"This citation provides foundational information about Therefore, and its relevance, helping to establish context for the study.",b3d1d07548435e5fdac5f05df5b2de8b01788b78>013134e573ad9227f3dac11291fb11c0bbd6eab6_3
1226,method,"The citation describes a specific experimental approach or procedure, such as Reagents, which is used to conduct the research.",8da119a7b4ed224876327f9f407f63f77befbbd8>b7412617d1316ebeddac57e4133565742377fdf2_1
1227,result,"This citation presents findings from an experiment or study, mentioning However, as a key outcome or conclusion.",225ae3b5e45d0345d21494a4731b5f101bf6654d>bfb4846434b9076479d10f278bfd4afb54db2ea3_0
1228,background,"This citation provides foundational information about Based and its relevance, helping to establish context for the study.",340300238e998780678ad5f97c8e1807be13766d>560e28cb2e297629602a33fd6358703dfc8711a3_2
1229,background,"This citation provides foundational information about subtilis and its relevance, helping to establish context for the study.",405e2a5d3bb5c430c4d0cbd020d8bebe8c1364ba>855f0edac470b58ab2dc7ecb8e873c970f273a23_0
1230,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",45fde553db0f7b5a5fba10a15a5dfb385eace14c>8c84e2c3a32b2e19060f69986c66aa0112b8cdd9_1
1231,result,"This citation presents findings from an experiment or study, mentioning Similar as a key outcome or conclusion.",bc790409c12bea0176e86b85915f1cfcde1227e6>7b6eae8fdd65b7b50cdc6fd6941989ac833f31c2_0
1232,background,"This citation provides foundational information about Also, and its relevance, helping to establish context for the study.",cf1f41040cedec9d47f965abec1e7a22a4b2f623>fd319ce6656eb0ca2afa9c79aa18ccdc7a6a80dd_1
1233,background,"This citation provides foundational information about potentially and its relevance, helping to establish context for the study.",0fa2a11a83b922e2a4f18b93e02311c571d6cf9e>2a13a0b2886934881fb53c3d277b613697ea5ffa_1
1234,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",9a068a63f5ae85227863a972c7204903fdcca978>73619c0c3ee055ee31944e3a71119e9f68d42794_2
1235,background,"This citation provides foundational information about Nevertheless, and its relevance, helping to establish context for the study.",1e07b16fb589780721887f60271a8b1c2868fb8b>40c5741dc18ca03e625306b5bbf6622d097176a3_11
1236,method,"The citation describes a specific experimental approach or procedure, such as Primary, which is used to conduct the research.",4fbee3970ebc3ddbfb7284642002bce7b6c62332>02b6e91462d556f8edcd47b7b12b1d04fe94da9f_3
1237,method,"The citation describes a specific experimental approach or procedure, such as Two, which is used to conduct the research.",bc103d96366ec97e0dd620894bbb04c8849eb772>919a7043506352a11d3bb6fa435081d03381c429_1
1238,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",870f9cf0879edc96351e80f0ae15d00f13a9dfa7>e4d8f7b6f4f4619c4c1735b7e8e4d3ecb154d6f8_0
1239,background,"This citation provides foundational information about However, and its relevance, helping to establish context for the study.",27ea0aa5f8d3e1dc7c449aceef59524dd32307b5>21cc7a2a24c33fe78ab21acf5ea2d548fa11b0d3_1
1240,result,"This citation presents findings from an experiment or study, mentioning Our as a key outcome or conclusion.",1edc7af9eaa7fe9da79f0605652cfd4443a0cad4>34be3ccc2ba9343126638a5df3f7dea6e42fe9a4_0
1241,background,"This citation provides foundational information about In and its relevance, helping to establish context for the study.",fc2fa61db68563e26daafe962633ab2b7e8e8b3d>18dba91edf38fe354fd3a1123737185c841be419_2
1242,background,"This citation provides foundational information about The and its relevance, helping to establish context for the study.",a36968ce4a49331c6bc512af535d0138faa80f27>d758571cc91a869dda07cd4b0b250f4815052a2d_0
1243,background,"This citation provides foundational information about Seasonal and its relevance, helping to establish context for the study.",479dc05177890fd662ff59969b18104f2f6abe3c>63046407d63d4aefd198f38ca2b0d294723b0f50_1
1244,background,"This citation provides foundational information about …have and its relevance, helping to establish context for the study.",b3231e925e9c851d01c0c5e08edb711f82617903>ed10f059dd82bba94b4485223720255b9dd8dc70_2
1245,result,"This citation presents findings from an experiment or study, mentioning Bartroff as a key outcome or conclusion.",c530edac57ffa39997801a600c486eb231a87a6d>21b324399af869ff28634117eaaeaccfd52d371c_1
1246,background,"This citation provides foundational information about [56] and its relevance, helping to establish context for the study.",bd579df4d1d880f0a8b6d781317bc307aef881e3>a49ae4ca06c2c23793ec2067d5ef5ed4db109162_2
1247,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",ba378ce65b8bfba3c0b776f8939a496f972f0f20>44d88f844cbe836cf33649a648af549ee1e60038_1
1248,background,"This citation provides foundational information about OFD and its relevance, helping to establish context for the study.",8a1d0ae6d7983ee65659fa5e942f8325681e3956>fb28c74d3cec7c9d46e6a9ac6a3f8198068a90d1_0
1249,background,"This citation provides foundational information about On and its relevance, helping to establish context for the study.",382870e98b64a8112ef94f069ccf0795ba20a861>d7be6f2a9a49327a6a7891891b83a1ee8d641524_3
1250,background,"This citation provides foundational information about Although and its relevance, helping to establish context for the study.",929455c9e325f50322e86e5501344b24d502faad>e40c696a7f5ac9a81c88d484752d7193e5238546_0
1251,method,"The citation describes a specific experimental approach or procedure, such as Health-related, which is used to conduct the research.",795078dc2cbb8985832e020842574778f1588113>4048bd89c7fbba538ed17581c90fb7eb877f2523_0
1252,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",c763fec6f36f59fa900b35870c7e6635333b60e9>672b34de6e1bdb3c54710f8033074f49e0a2d0c8_1
1253,result,"This citation presents findings from an experiment or study, mentioning The as a key outcome or conclusion.",6076a3d0fc52503c97dd36ad50882108d91b8663>964ac36944fc882a774832191d5edc7008d263e6_0
1254,background,"This citation provides foundational information about …evaluation and its relevance, helping to establish context for the study.",757d49e6dea40a7131d972186f5c3295c9bc4ccc>99c6174c0997f772d774f5a49ea1af01253ed944_6
1255,result,"This citation presents findings from an experiment or study, mentioning These as a key outcome or conclusion.",a2d6e60cd95a4f0ee7c81c226e829d6c9ab01edb>dd0509337c9d8c4ac5a24b2a0fc6e01fc8b5a335_0
1256,background,"This citation provides foundational information about Although and its relevance, helping to establish context for the study.",2ab057d0cdf27726b44454e4a35184a46bb1215a>95d818f089f256ffdfabbcb1157a3701ab1bd15e_8
1257,background,"This citation provides foundational information about Another and its relevance, helping to establish context for the study.",8dfa37d9118597e766d00ccfd87003d60f6477c5>87d0428d1094e534fcf1f28e40e95311e196db58_3
1258,result,"This citation presents findings from an experiment or study, mentioning Our as a key outcome or conclusion.",c70437744f7e0ce62943e0b290b6a85ecc502cc4>1bbba3e12dce962ea240ccf706b28bce8f5b3088_0
1259,background,"This citation provides foundational information about HOLE and its relevance, helping to establish context for the study.",7659b9a095f9710c85243fd1a506c62263b91a6e>bb75de5280ff9b0bbdd74633b9887d10fbe0ae10_0
1260,background,"This citation provides foundational information about Although and its relevance, helping to establish context for the study.",3874a1098d1e34b107a9c4ba1a1e200070de15b0>7d253f083d75e9cba4af91751451b379fb5c37a3_1
1261,background,"This citation provides foundational information about As and its relevance, helping to establish context for the study.",c98d55e7f020dec25be388d4d4de1e61f28b6ce9>baabf87e24b5bc7e279546770cd8abec70add3b6_0
1262,method,"The citation describes a specific experimental approach or procedure, such as To, which is used to conduct the research.",04c3a9b5e265273cc5db058a32fcaf94d6f2cf14>47417fc827811106e4695ba4d64c891ad8ecd945_4
1263,background,"This citation provides foundational information about For and its relevance, helping to establish context for the study.",96bf83720a2c179cb0f74467026928d483e34b58>d93a24d41f55006c34c0de6f080aa045f85a8e1d_0
1264,method,"The citation describes a specific experimental approach or procedure, such as The, which is used to conduct the research.",e23e9d69abf2be1d69f90214d664d78ef03df75c>d439516d553338e52b9ad3095045d6a4a566b221_4
1265,background,"This citation provides foundational information about …glycoprotein and its relevance, helping to establish context for the study.",0c84e9852f312bb9b0dfd1955ebc3cf56123bf94>2dce7fc0c967c8938391c54b4cde6b377d49175a_6
1266,result,"This citation presents findings from an experiment or study, mentioning Apart as a key outcome or conclusion.",7bffa0f894c478ce164c0a242ce44131e1001de0>None_0
1267,background,"This citation provides foundational information about Examples and its relevance, helping to establish context for the study.",454bca286a9b1da219c86f4a1ebf31812ea3285c>21a13e8143465f0b857e6d60a4e6d88874915afc_0
1268,method,"The citation describes a specific experimental approach or procedure, such as For, which is used to conduct the research.",ab024aeaa76549de09f10a711fb0af23ad307016>93ca2c90d7ae0355d9c6923f9462455167e05348_0
1269,result,"This citation presents findings from an experiment or study, mentioning Studies as a key outcome or conclusion.",3e2361e6286ca7807f5b41c8f7ddbe2e8914cd2c>ba63d4879050f1aa65b9aa42f8b3ea3c1745197b_4
1270,result,"This citation presents findings from an experiment or study, mentioning callosum, as a key outcome or conclusion.",931880aee0f905d0167e5bbf8c11b1ace8463c5b>c8b5c4dbf35f0a813c187f1e7fcb515ff7de9cfa_3
1271,result,"This citation presents findings from an experiment or study, mentioning A as a key outcome or conclusion.",d8fb5c6e78bba8996decf03fbcd14569e3fcd790>c0cb8a1b4d4f4b5fbf381a5b320d291c94a92525_10
1272,result,"This citation presents findings from an experiment or study, mentioning In as a key outcome or conclusion.",b81507c6477f641d8d01680bac5f319970222fe3>52993914cb75f3873f4818908c173a9e86850b36_0
1273,background,"This citation provides foundational information about Pricing and its relevance, helping to establish context for the study.",fbea85be172e21855cee46d6209bae3f95941ff3>17f2bd869df15476815b6d6a98d9a3184ea6c714_4
1274,background,"This citation provides foundational information about Other and its relevance, helping to establish context for the study.",f974076672e50ad0a6fb6c6b95290d8192b83631>3e701204dfcc15fe1bd8b1a85c37f9337d84e27f_1
1275,method,"The citation describes a specific experimental approach or procedure, such as For, which is used to conduct the research.",c41098f9d3b5a18e333178f4618130e4a5233646>689d734472c14f9ba67a546e5d78b2af404d00bd_0
1276,result,"This citation presents findings from an experiment or study, mentioning The as a key outcome or conclusion.",3905b8d76d3705cf71076a6827cddbe586bca9f6>06221db0b2ed4d83425579853732542cbc77caa7_0
1277,method,"The citation describes a specific experimental approach or procedure, such as In, which is used to conduct the research.",bb211b1c30420c10b63f032cb4d5cdfe2d24720f>9e792239b3bb5361a3faa940e11cfef2be39959f_10
1278,background,"This citation provides foundational information about (14) and its relevance, helping to establish context for the study.",b6e54308a7d30af11551dc9bc378f8ebd71282d7>f8c60366a6f7767a92d4e69f9a50e2c243b85c73_0
1279,background,"This citation provides foundational information about Thirty and its relevance, helping to establish context for the study.",92d9f20dfc4ef188b2ea6babf65049964e2b3603>5873d95d61e1b238319221829b826bee36cc6505_1
1280,background,"This citation provides foundational information about Early and its relevance, helping to establish context for the study.",81a915b83506b31b1c0b7f4fa35db2c57e83fd07>219f5b5f41264e84d8bc7c93a540e256e1f810c9_4
1281,background,"This citation provides foundational information about It and its relevance, helping to establish context for the study.",97e2b13cb35d9d69ec82979326a41f977c435da0>8435e2b9e4dd4f54696a370464bcec819a842f4c_0
1282,background,"This citation provides foundational information about …Keddy and its relevance, helping to establish context for the study.",d35227b7a396b97aa82a4422f50ad9f341b9a191>b910ddbed873468c87bb5d9218b6058c308df87e_0
1283,method,"The citation describes a specific experimental approach or procedure, such as We, which is used to conduct the research.",ae96d2c340c29eb94b0fceb3f45c22b8a46ef3fb>888e61c2deabead3731e3b99d5ba5980fb997fcc_3
1284,background,"This citation provides foundational information about They and its relevance, helping to establish context for the study.",48bff8eae05fb5369b0026742eaa79178e107fbb>bc6ad001c395e92920839e45dfd7e05ce69405d2_8
1285,background,"This citation provides foundational information about Stat3 and its relevance, helping to establish context for the study.",cd2497d377d93ae0c0acb3e56ef4dd9d94fd32ba>b64c91f99c07e5c75594923e95305fb064604172_0
1286,background,"This citation provides foundational information about This and its relevance, helping to establish context for the study.",631a4b5ce1bbc46db44db315203dadea4dd4e65d>b50dc11e63844606ee5a56c10a97bf89dc457201_3
1287,result,"This citation presents findings from an experiment or study, mentioning …study as a key outcome or conclusion.",3fc98f845ad2294f009eab80786be59067cc885d>10d34e3ba06f810b82d10adeb889f7695e9c3834_3
1288,method,"The citation describes a specific experimental approach or procedure, such as All, which is used to conduct the research.",1708ca453c3b896362f8ca29c60bf39507be6964>98af114f876ec3a16b9ae6442e86e63b27e8b3c9_0
1289,method,"The citation describes a specific experimental approach or procedure, such as For, which is used to conduct the research.",dafe95d580177bc3ab0b66128d9b44d8ce60d19a>2f717c0ea27c20314deec97e38306fd792e7a175_0
