sectionName,string,unique_id,model_classification,reasoning
Methods,Further details are included in the earlier reports (Springer et al. 2006; Yogev et al. 2005).,7ac67ff0f59585ad3b31d22424c2cef72e20a27d>8d588720ea1b676f8b3906b696e06cf64f5b766b_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
3. Discussion,"Research investigating reactions to norm-deviations in online settings has to date
primarily focused on individuals’ profiles (e.g. Brody & Pena, 2013; McLaughlin & Vitak, 2012; Peña & Brody, 2014).",90e3135b8b3ae3871c2d272a5971b703174bcd96>466e2d457c348272f138f0aa48618c85b563a3fc_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
1.1 Previous and Related Work,"An extension to the symmetric-key setting is given in [21], where it is shown that verification along a path can be performed in parallel.",5a0e35103ae7b3a1e9576e9944e0c462dec776a3>5c2a0594f3580610a9beef83a99bf9fe0a80e364_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"The isolation vocalizations of infant mice are used as behavioral markers of stress (Rupniak et al., 2000) or disease state (Ricceri et al., 2007; Scattoni et al., 2008; Young et al., 2010; Wohr et al., 2011a).",2fdcd0a26a7749af1d135ac11851cbdb8b29e283>bce1ad08961b82b080dbebec9a7d39e5dac26277_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"Consistent with this, panobinostat had a detrimental effect on human DC viability and function (31).",c0c8d34a0fee5ff52aea3f718068fec651a82771>565c1f4c4b738f3d58f4c7cd2420b203320dabe8_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
4. Discussion,"The process that changed the radar backscatter between the pre- and the post-event images is ascribable to the changes of the land cover structure, roughness at the wavelength scale of the C band, and the change of the land dielectric constant (moisture content) in the passage from dense canopy to bare soil [13,19] caused by event landslides.",8f146171c9d6ce082589bf45759204a33fa6494b>6f04e7388117ce4263ab24706c3f7f8e0f4f1955_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"The sequence entropies of the interface residues are calculated as done earlier [20] using multiple sequence alignments, either from the HSSP database [22], or supplied by the user.",4573d8089a87e443903c5518bb283f8792e1a318>125fd22448e7235969870745d957d522f545eed3_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Soft Tissue Fungal Infections,"monly seen in men and caused by different fungi, including Madurella mycetomatis, especially frequent in Africa; Madurella grisea, common in South America; and Pseudallescheria boydii (Scedosporium apiospermum), more frequently seen in the USA, but also reported in Europe [48, 49].",b058302dd5c6c6b292e84aaf3fefab759ea3df78>2cf15f3bb8990e92abf74fcff4cddb2507400f18_1,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"These results are consistent with our previous in vitro finding that Sef loss can enhance FGF-mediated induction of MMP9 in prostate cancer cells, which facilitates tumour cell invasion and migration [20].",96e4832d62cfde2cc818aa932b298dd9ea3c2e3c>3c72a28a95fbca56237572416af8ecf1612b0fcf_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
1 Introduction,The impact of the human factors on the software industry and its projects is increasingly discussed and investigated in empirical studies (Hannay et al. 2010; Salleh et al. 2010b; Kosti et al. 2014; Lenberg et al. 2014).,78cfb1e13823842bdfa49df88e1b201473af795b>4354125f383ede6be4c37f12c5c79673e57d61da_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,Leite and colleagues demonstrated that ouabain reduced neutrophil migration and decreased vascular permeability in peritonitis [12].,d3cc99e273801ea46d173cc49fec41f606c45ec3>5eb8e3f142baf35cbbf5892b7d6336f7e5914898_7,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Introduction,Strong evidence for its formation in humans by the action of light on the skin and its metabolism by the AhR-inducible CYP1A have been presented [5-7].,040c20447a37d9d652ef1748a2db619b8d95622c>26bc3ee344b61cc9f2b6f911ebf24586598ce2c3_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
3.2.1 Message Expansion,The structure round function is partially same as of IDEA [10] and Akelarre [5][6].,08be600a24edc32238a8642c8591956ad9633da5>dc12e451cd61015a5ed0174ec1bb76867949dee3_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Materials and methods,"Model equation for inhibition
Model equations were applied according to the recommendations provided in previous publications (Estévez and Vilanova 2009).",837e203c03e8c7aca1d6a5eff16da685f83fa807>9c7168cb9caf4dbb9c9e4455f4b0bc8a5304fab1_13,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"The TLFBmethod (Sobell and Sobell 1992) was used to obtain self-reported amount and frequency of cannabis use in the past 30 days, and diagnosis of current cannabis use disorders was conducted using the DSM checklist (Hudziak et al. 1993).",3479e381f8149a9a6b12285a8e9c16d5a991cdbb>da49bf02f3c85064c7392eccb36971b63d0bf378_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Experimental design,The Mapping experimental design was previously created for the genetic mapping of quantitative trait locus (QTL) conferring partial resistance in sugar pine (Jermstad et al. 2011).,1e5bd67fe0ce019be51d5cd110871fa3766fad7b>4d88a11ae38f9740631d31f1669e33122f256323_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Overview of the HDAC family,"The mechanism of action probably relates, at least in part, to up regulation of the cyclin kinase inhibitor p21WAF1/CIP1 in HDAC1 null cells (Lagger et al., 2002).",ac98889274074aaffe68806613f94400764cc392>e79c496d57be7fd821df67996a40c5579ed81450_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
III. RESULTS AND DISCUSSION,"Thicknesses are in the range of previous results reported for lead iodide [17]‚Äì[19], [21], [22] and for",0cd88668fc28e1d5828a7a3e4b4e0c2721fa77e8>None_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
3. Results,"These ultrasound studies were split between endoscopic ultrasound (EUS) [11,26,28,30,39–56] and trans-abdominal ultrasound (TAUS) [24,27,57–61], with patient numbers similar between modalities (1857 for conventional and 1875 for EUS) (Table 1).",a07a6f5c4e1192778bcb50250d0eff4857066632>9beb6e9503a5e38124887d4d40c7845d5a06e7cb_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
4.2. Topographic Implications,"…in substrate competence [Moglen and Bras, 1995], erosive efficiency due to sediment flux [Sklar and Dietrich, 1998] or to orographic precipitation [Roe et al., 2002], transient conditions [Snyder et al., 2000], and/or differential rock uplift rate [Kirby and Whipple, 2001] will impact actual…",0d5dff59bb8a5c157cf5a1277a52fffe2d2e16a0>f696f7bb47b26f24a6100ebd04625694c2a5de76_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Artificial Orthography and Training Procedure,"Using this procedure allows participants to feel the initial sensations (e.g., tingling or itching) associated with stimulation without any after-effects of stimulation being induced (Nitsche and Paulus, 2000).",d035fe8922098a43b47925465e8ff7f3d0e5da7f>dea3bb84249b00e4c8930f5760327f9b30da0602_2,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
4.1 Introduction,"In [46,77,94] dynamic programming is employed to determine an optimal energy allocation policy over a finite horizon so that the number",71197e96cc66d18123cffa099c043cf41b67445b>620a12113f0ae1f687dfcf6da5abbe6d3491fa85_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methodology,Another common characteristic of co-authorship networks is the existence of community or cluster structure (Girvan and Newman 2002; Newman 2004a; Leskovec et al. 2009; Savić et al. 2015) where clusters are viewed as subsets of nodes that are more densely internally connected than with the rest of…,af1f99bf354d7c547b82ddaad9b87d6f90fb8d69>a151fcaa3d003321d6e09602a927fc434d19b032_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"The main absorptive organ in the cephalopod has long been considered to be the cecum [4], and the large cecal sac and intestine are thought to be the main organs of absorption in the Loliginidae [1, 2].",bd3a8973d19752de1eadef935a08a7085c9b7e5a>cf3af80ea7b58742973ac5e1fc17d23b5497b0ef_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"DTI derived diffusion parameters, such as fractional anisotropy (FA), have been widely used to assess white matter microstructure [16, 17, 25], and has previously been used to detect traumatic brain injury in athletes [6, 10, 18, 49], and military personal following blast-related brain injury [29].",ac9e9cfb33511ecf1d0bda4079003144915c7a43>f2322e16332ef187057f7787b8b8f2e91cd9add5_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
3 Experiments,We have trained a one hidden layer representation on Mnist with a RBM and we have optimized sparsity and spread of information to depth one (we note LV ).,ff1a00ff15ca1b61f8608d1c13f1f7f148378ab5>1fdc785c0152d86d661213038150195058a24703_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
"TEHILA KAISMAN-ELBAZ,1 ISRAEL SEKLER,2 DANIEL FISHMAN,1 NATALY KAROL,1 MICHAL FORBERG,1 NICOLE KAHN,1 MICHAL HERSHFINKEL,1* AND WILLIAM F. SILVERMAN1","Both pro-apoptotic (e.g., Han et al., 2001; Leskov et al., 2003; Caccamo et al., 2005) and antiapoptotic (e.g., Trougakos and Gonos, 2004; Gleave and Chi, 2005) functions have been ascribed to CLU which is up-regulated in several tissues including testis, following injury or stress.",6ed6bccfa0479f8a2cc29c0d8b3c4016a3185892>ad94bb03644ee9cd277304072809377c2c9298eb_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"Optimization Metrics When sampling phrase sets for text entry experiments, memorability and representativeness are two metrics that have been widely adopted by researchers [23, 25, 33, 39].",9501571bc1e436ce1c36d2b62fdb3c8767c93661>702757e8d5b16704d1e0a0f2351cf393110603bb_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"Therefore, our clinical study results are congruent with Bernardio‚Äôs (24) and Dollahite‚Äôs (1) conclusions regarding the renewal of the biopsy when necessary in cases when it had been performed only from the central area of the lesion.",db22dab2179c4dc2ef8c63321394c6bb5873fe7d>c90933b53e07883d008c3d21b553ef6ee8001732_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. INTRODUCTION,"However, despite the fact that a large body of work has been dedicated to concurrent search data structure (CSDS) algorithms [6, 9, 11, 13, 14, 18, 23, 24, 28, 32, 37, 39, 43, 51, 53, 57, 58], their design and implementation remains an onerous task.",99885b824643da6ca5844ff984da0abf0fcb7cad>540580a606d14f1f57e18b3d011c75c1fbba8e36_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Results and discussion,"…lower compared to the high mean concentrations of Ni reported in Morocco and India (85 and 66.55 mg/kg, respectively) by Al-Jaboobi et al. (2014) and Yadav et al. (2013), but higher than those from Nigeria and India (0.77 and 1.3 mg/kg, respectively) (Rapheal and Adebayo 2011; Brar et al. 2000).",a987290394cf4476ea4f55f3f7bb427ff5cebf34>0c610357d8682ecc3239863bf0ccf9c8d9090381_14,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Introduction,"LPC-induced AR and protein Tyr phosphorylation are also blocked by PD98059 (de Lamirande and Gagnon, 2002).",51c7b381edeec1f0fb4e3c3f7a4d5a5bf2a49a28>01994833ad94026b07221b3ae0e57783c016b67d_13,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,"All cases met accepted criteria for the diagnosis of PSC,3 PBC,19 or UC.20 Serum liver function tests were performed using routine laboratory methods.",276fb5ac28c729c858c33a98f0a095fda055d556>46f487c6c243a4fdb4981033c9b34e6003e521c2_1,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Discussion,"These results about complications are consistent with previously published reports in open surgery [34, 36, 38, 43–47] suggesting that LEMH is as safe as open trisectionectomy in experienced hands.",cb12d128d0b9830cc123fdee1320fa5de1162fa3>c50bb3c6ca80d05b6117f0a3a23da9c3bfb8c60b_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"RT-PCR and expression analysis RNA isolations fromASCs and endothelial cells of 7 different patients were carried out using QIAmp RNABlood Mini Kit (Qiagen), and cDNAs were generated from 40 ng of RNA using the High-Capacity cDNA Reverse Transcription Kit (Applied Biosystems); quantitative real-time (qRT)-PCR was carried out with an ABI Prism 700 platform as previously described (Martin-padura and colleagues) using primers and probes from the TaqMan Gene Expression Assay (5).",33faf9c0b0ea2292ec82800186ca82e54b087ecf>3c5f1e4b17a53cc4636cb9994b1c12fa0a409a47_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
II. RELATED WORK,"In view of the special characteristics of MANETs, epidemic routing algorithms [6] have been proposed to disseminate information in MANETs.",eebc273c664cbe4cef9cee3d7cd728d289a0d53b>2f18f645466e229a6ae70465db66a2082e074ebd_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Seed regions,Hoffstaedter et al. (2013) identified anterior middle cingulate cortex (aMCC) bilaterally through a convergence of resting-state fMRI and meta-analytic connectivity modeling (MACM) results.,99d86575fab9d7121d51389e54486f065625be65>d8260fc08f8f435ec240a5ad511a378c57ede578_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,…carnivores has been a focus for theoretical models (e.g. Macdonald 1983; Carr and Macdonald 1986; Bacon et al. 1991) and empirical studies (e.g. Kruuk 1978; Kruuk and Parish 1982; Mills 1989; Mills and Gorman 1997; Geffen et al. 1992; Patterson and Messier 2001; Valenzuela and Macdonald 2002).,d2d310fed2ed5ede27bf7580fce4826ad7eceeb7>f00d1de687963e67dd28d5de394cdf5f73e21734_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
4.2. Predicting traffic flows,"On this task, we find that each of [23]’s ensemble members produces a meaningful output, so we do not include L2.",c4b477f669c1e58394ebf4915f7eb59c770b0fcb>7c989cda97694cd13d10b92ff1813362e2750197_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"Four publications focused specifically on the lives of women who use drugs [32, 41, 44, 45].",eb32c07c0802695145984bc1caec5ee5844d23d9>3d27626beed8117416f6193c23678d21892b58e3_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
5.2. Implications for Formation of Crustal Plateau Structures,"However, the apparent absence of multiple spatially periodic extensional fabrics [Ghent and Hansen, 1999] argues against the presence of multiple mechanically distinct layers, unless additional regularly spaced extensional features exist unrecognized.",599de37e6628fd9e2f42eff08de73e85fc9e3e10>d55c95cedf9904a2776b682518c24b4d4d96bec7_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
3. Experimental Results,"Cognitive skills are related to behavior in various economic experiments (e.g., Benjamin
et al. 2006, Dohmen et al. 2010; Frederick 2005).",10eb7565dc984cfb33ec1ded1116443e160336bf>4636c8a4c0266e76deffd596d7ed32f1b742b696_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"RNA was reverse-transcribed as described previously (Thalor et al., 2012), and the resultant cDNA was used for reverse transcriptionpolymerase chain reaction (RT-PCR) and quantitative RT-PCR (qRT-PCR) analyses (Sagor et al., 2013) with the primers listed in Table S1.",23d46ff63837e11d6a688370b8a9ca7ed1948365>a782b1c5455b041468c347c1e12bfce855ea3b55_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"layers for multi-culturing of tumor and stromal cells side-by-side to mimic the architecture of the native tumor microenvironment [28, 32].",6c35daed9152715f966550f99e2a11d9cd8084ca>e9ed1d98b337f240865399511c8839cc1e822e7e_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
5. Experimental Setup,"Finally, ADMGA is compared with the previously proposed nAMGA, used in [55] to tackle a dynamic knapsack problem with good results.",84b2f401bcee6d2920ade38185b0b124d3d43a54>476f4e0f967d537cb232003a51a00ffa0ff828c4_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
2 Methods,", 2005) as in the operational DOAS retrievals (Boersma et al., 2007; 10 Bucsela et al., 2006).",5f9e27fd212e0eac30dd8b2e9a53d422f5ca0bd4>9e4ab179a114ed860aebd5ee4699406aa7088069_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results and discussion,"…is bifunctional: it contributes to FS engulfment and it forms a feeding channel that allows nutrients (and possibly regulatory signals) to be transferred from the MC to the FS during spore assembly (Broder and Pogliano, 2006; Camp and Losick, 2009; Doan et al., 2009; Higgins and Dworkin, 2012).",3a504f7442a5f75d5c93b1a1235a795fd7ddaa9a>482a31218660beb61c34da8824cbbfe892346814_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
9.3 Methods,These interactions are only quantifiable in a realistic way by means of heat balance models (Verein Deutscher Ingenieure 1998; Höppe 1999).,62c99fc9ccaa39c95301b51ab17f44c2999b6a9b>115166bfaa6aa94cd7ffc24b8e5766e52768f096_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
1 Introduction,"Meanwhile, we analyzed its performance regarding friendship estimation among children (Kanda et al., 2004 c) for these two experiments, finding better estimation for the children who interacted with it for a long time.",922f2fb5ebc5d7d8e08b087bdd4df2855bdd4b48>73f8d428fa37bc677d6e08e270336e066432c8c9_4,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
5.1 Introduction,"Image segmentation techniques have been proposed from various perspectives, including clustering methods [94], region-growing methods [95], level set methods [96, 97], and a recently proposed inverse diffusion and expectation-maximization algorithm for materials images [98].",b17c95c1967658b1023ce813e6588f335bd532b5>38683d51182dc2dba8234d28b571dab683506541_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
METHODS,"Nuclear extracts were prepared with the methods previously described (10, 39).",9c98aece230c5879d554b4646eeab4b95554b627>d1ee5489f60e6078e9ecdbf62863374d14e4d643_2,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
METHOD,Sexual function was assessed by a non-validated questionnaire designed for women with OASIS and developed by an expert group[20].,d3e4c4b0a9507b3c259b9034b2d7aa4252159b27>344312f715b2f11707b0cd36f8d0a0a115f37ece_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"…M. Beale The Macaulay Institute, Craigiebuckler, Aberdeen AB15 8QH, UK
one stage of the life cycle may impact upon subsequent life history parameters (Post et al. 1997), whilst the inXuence of climate on multiple demographic parameters in the same species has rarely been studied in any taxon…",b65e7031c5bd75a4e2de061ed9526e6e44d5146f>2243ee1c02e77e3c1824cabbe4cd68a324039865_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,The treatment order was determined by the level of evidence in the literature for each treatment((5)).,acf642b538715cb6ea800e15ed4607dd59f18035>45d6e04079454e5926a07f36c6b753bdcc73949c_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"But, pedicle screw fixation has its own risks, so that spinal fixation using pedicle screws is technically demanding [2, 5, 7, 10, 12, 13] and many reports have been published about complications following transpedicular instrumentation [2, 4, 6, 17, 20].",9ce776353adb946702980fe4b5c39fccd4867b65>5c943f4b843f7cc6a14d8a8a60fb1f36f0930daf_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"The methylated RARb2 levels were detected using either methylation specific PCR (MSP)[21,32,34–36] or quantitative methylation specific PCR (QMSP)[26–31,33].",2eb4969576aa13487c087bcadfce196a46a96405>f375431b6149f1d5b2013ab305619799bcb4eefc_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
,BBS4 appears to act as an adaptor that connects p150 subunit of dynein transport machinery with PCM-1 and thus assists the centrosomal recruitment of PCM-1 and its associated centrosomal proteins required for the organization of microtubule radiations from the centrosome (20).,158d278c6ea8bed1b0ecb102474104883857dedf>a978585942c78dcd00f1ece19b7ed244b4a76978_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"This relative amount was less than in a previous report (Gatewood et al., 1987), in which approximately 15% of histone remained unreplaced in mature sperm nuclei; we suspect that our methodology for nuclear protein extraction was not optimal for analysis of histone, or that relative collection of protamine was increased by our method.",1ae76817ddb9f1969e80a339a235dde8c9afd094>e3f8af6936d1a5cfeddf11148a2b6b61e59c1a75_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
METHODS,"Basal Methabolic Rate (BMR), Daily Energy Expenditure (DEE), Training Energy Expenditure (TEE) of all subjects have been estimated, Metabolic equivalent (MET) of each dance for all subject have been evaluated by a Sensewear ArmBand metabolic holter as previously reported (Mafra et al., 2009).",18795e4a45fc7bb77e703d8328a02a47fa10395a>07f2b7063c9df5eb289e02102fa59e4c6cb8828f_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Introduction,"If a promoter is partially methylated, this does not necessarily prevent the promoter from being active, as was demonstrated for the 35S promoter by Sijen et al. (2001).",7796f3e680044a7404fe16306c80ad978df72409>1504de3540a465ef14d49897e9506fae51902f2e_2,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Results,"These definitions rest on the assumption that flipped teaching alters traditional instruction so that deeper levels of learning can take place in class rather than rely on homework (Gannod et al., 2008; Mason et al., 2013; McLaughlin et al. , 2014; Prober & Khan, 2013; Strayer, 2012; Tucker, 2012).",d79a9cc876798786762088cdacd3978d9beb24d9>12a23d19543e73b5808b35f1ff2d00faba633bb6_7,background,"The citation does not explicitly describe methods or results, likely providing general context."
Experimental design,"Here, fine motor function was assessed using an independent rater, the HPT, a commonly used outcome for stroke rehabilitation [16,17].",05a1523811997bbd788a1b8ae83ddd07777ceb76>c01dfde3e76de228accb164d305a068c327dce35_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Elevated serum BAFF levels are involved in the pathogenesis of B cell-mediated autoimmune diseases such as systemic lupus erythematosus (SLE) [12], multiple sclerosis (MS) [13], systemic sclerosis (SS) [14] and RA [15].",3cd81a85fd7cbfd006384dfbff1c5d317fd32adb>18367eed9e76446a1e4e3563d4826fdac584bc68_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"Up to now, several studies [21-26] and one meta-analyses [15] have investigated the relationship of CCND1 rs9344 G>A polymorphism with GC; however, the results were inconclusive and ambiguous.",af970f41befe4a877e3b722392737a69fd5815d7>e5a61bc56be44f403709dc3f49f1685ab68847a6_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"Sunitinib is one of several agents, including sorafenib, bevacizumab, and temsirolimus, which target the inhibition of pro-angiogenic growth factor activity and have shown favorable results in clinical trials against metastatic clear-cell RCC [15-17].",82db6f6a0fa03c187574039bd04400bfb5d88e51>6974b584cccb00cf5a1839b21a7eda1f59896cc2_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"The results in the two groups after 8 weeks were similar (p > 0.05) and comparable to the normal values found in the specialized literature at 8 weeks after surgery (Andrews et al., 1996; Greis et al., 2002; Maffiuletti, 2010).",bd02c6d3328c8c9483c4dbb20a5263c92ebfeb6f>8b2e20d990aaad4a778237541ab3346e96312b1b_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"…to use a pitch difference in distinguishing the stop categories, where both vowels following aspirated and tense stops are produced with a higher pitch than those following lenis stop onsets (Jun 1996, Kang 2014, Kim 2004, Kong et al. 2011, Lee and Jongman 2012, Oh 2011, Silva 2006, Wright 2007).",eafafc708296c462edc9294e1b8f3b1dd3f4dffc>8f12510fff2f067cbd55ef4c4c5ab01a7314beb5_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
General discussion,"The classic formulation of the adaptation method assumes a decrease in the signal following repetitive presentation of the same stimulus and a signal recovery following presentation of the same adaptors with different test stimuli (Grill-Spector and Malach, 2001; Grill-Spector et al., 2006).",ddebcf3b646bb72da807b9ee0722d122409e589e>0dd9877b5652119a20726a488b95204869658435_2,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
METHODS,"Gestational age was assessed by mothers’ report of their last menstrual period (87 newborns), early ultrasound dating (two newborns) and New Ballard Score examination (six newborns).(2) Anthropometric measurements of the infants were taken two hours after delivery by nurses previously trained.",49ff61ff4a6d2624d87fabac2baf69030899c023>bc8e88320dcdb4866f533fc8a8c3a3f45b5ac3f3_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"An effect of similar magnitude to our results was noted in the US Black Women’s Health Study (n 1⁄4 35,224) (15).",ad17631e93d1cea903a86611e867623ad3cbc5f2>d2b6395a90b11ede755259a227dd3c47e6fa371e_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"The proposed method is evaluated by combining the classifiers recognizing unconstrained handwritten numerals from Concordia University [10] and the University of California, Irvine (UCI) [1].",7ec38f5874c15a89d98625ef823addaa820503b1>0754161bc6e6c725aa0507827455fd94a7affad4_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
,"3 Perceived reachability Perceived reachability (PR) is a relatively new concept in IS/IT research, but has been used with research dealing with wireless technology, for example by Kim and Garrison (2009), who were among the first to incorporate PR into the TAM framework. PR refers to “an individual’s perception regarding the degree to which he or she can “reach” other individuals “anytime-and-anywhere” via mobile wireless technology” (Kim and Garrison, 2009, p. 326). Thus, PR refers to the capability to connect with others. Sales jobs can necessitate spending a considerable amount of work time away from the employer’s base, and it can be argued that mobile technology provides an ideal enhancement for salespeople. Indeed real time responses to customers improve the working processes of salespeople (Sheng et al., 2005). Moreover, Rivers and Dart (1999) suggested that timely information could improve the quality of any sales effort.",1ed8042c32b484573035db874ee8db00b77ba326>f08f08fab4db474ed6d556b908622d95afa2704f_10,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,These results show differences in connectivity in a similar network as the previous study by Repov≈° and Barch (2012) showing group differences in connectivity with increasingworkingmemory load between the Fronto-Parietal networks.,0101ae91c87779648c78b31953080ae2033ddf9d>dafab9e844255c1cc72fbf9a1118248aabc537a6_0,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
INTRODUCTION,Only a fraction of all these molecules have been used in taxonomy (Frisvad et al. 2007b).,b853b28a9b4d7969341b77840292c78aa63998b1>7fb8c85ba1738dba2c5b2b193c4a1ef2a35ac2ff_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Discontinuous PWM techniques for multiphase inverters have received some attention as well, and such PWM schemes are available for five-phase and seven-phase inverters [3-6].",e7fc18fc91034d55cb0dcc1e466486a03768318c>e19fba18ed9633768806c41ec5b89239ae3f1e42_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
,"However, a thorough analysis of type VI collagen products during development has unveiled an elaborate pattern of expression (Marvulli et al., 1996).",78df72c544579fbdc6f5c9a4b38434699e645873>a0c52ddd655648ddf0c426553bf0957e8abcc02a_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
2. Prior Work,"Recently, 3D-CNNs have been widely used for various 3D data analysis tasks such as 3D detection or classification [39, 31, 29], semantic segmentation [7, 32] and reconstruction [44, 6, 45, 15, 49].",bd36544bfecd5b9ea58d0eab186968b3c9d181aa>9a01ad5d531d9662795f4d65fdf4c06116dc871c_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Materials and methods,"Field studies generally find a carbon enrichment of 0 to 2‰ and 3 to 5‰ for nitrogen, for each increase in trophic level (Peterson and Fry 1987).",c08ec9d08969d5b1c83176e42ac5c185db5bf63f>986c41e8279fc669ecb48147690a92e0dc20df4f_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"…et al., 1981; Kopp et al., 1992; Tiruppathi et al., 1996; Blazejewski et al., 1997), a glycoprotein that has been shown to be involved in protein binding (especially of albumin) in other epithelia (Kopp et al., 1992; Blazejewski et al., 1997), could perform this function at the blood–CSF interface.",c20db8a8cd0649dd3644a897404c8d5100b7c707>76ae742914fa618d9008cc1c664475928843a279_3,background,"The citation provides context, references prior work, or summarizes existing knowledge."
T CELL,"When IL-17 is blocked during a high-dose challenge, neutrophil recruitment is hindered, and this may alter subsequent development of inflammation (55).",998b2e755456700a4fc07c6dd1f32d243899d09f>c5162ef5c68848eba50818b64f7a783f1cde4c73_13,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"Springer
Instruments
Data collection consisted of a questionnaire packet composed of three parts: demographic questions, a modified version of the Conflict Tactics Scales (CTS) (Straus, 1979), and a modified version of the Domestic Violence Self-Labeling Scale (DVSLS) (Hamby & Gray-Little, 2000).",bcb4a17f084607d301b16de5082a9205268188c4>c4017ac1741dc27236817f2e0029da4e19e5c22f_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
